building_names,latitude,longitude
Adams Tower,43.13905857,-70.93067282
Alexander,43.13357812,-70.92760239
Babcock,43.13237103,-70.93269333
Barton,43.14182726,-70.93889364
Christensen,43.13111467,-70.93450804
Cole,43.14206265,-70.93923224
Conant,43.13584389,-70.93393871
Congreve,43.13764991,-70.93230993
Dairy Bar,43.13935301,-70.93613333
Devine,43.13332082,-70.93024652
Dimond Library,43.13548129,-70.93322289
Eaton House,43.13139596,-70.93666899
Elliot Alumni,43.13989964,-70.93231908
Engelhardt,43.133124,-70.929407
Fairchild,43.13449628,-70.92788985
Field House,43.13867277,-70.93770622
Gables North,43.14479118,-70.9359848
Gables South,43.14351581,-70.9368376
Gables Building C,43.14428971,-70.93753624
Gables Building B,43.14433768,-70.936645
Gables Building A,43.14394598,-70.93630068
Gibbs,43.13235396,-70.93010745
Greenhouse,43.14050883,-70.93917083
Gregg,43.13494323,-70.93856306
Haaland,43.13223315,-70.93734866
Hall House,43.13097736,-70.93658371
Hamel Recreation,43.1392166,-70.93352695
Hamilton-Smith,43.137168,-70.930699
Handler,43.13365476,-70.93653496
Health Service Center,43.13610035,-70.92857317
Hetzel,43.13414009,-70.92713401
Hewitt,43.13624521,-70.93476383
Hitchcock,43.1329019,-70.93065756
Holloway Commons,43.13508581,-70.92935006
Hood House,43.13521397,-70.93084169
Horton,43.13366155,-70.93204472
Hubbard,43.13167721,-70.93339916
Huddleston,43.13482168,-70.92862165
Hunter,43.13262765,-70.92947207
James,43.13677871,-70.9347193
Jessie Doe,43.13851663,-70.93091383
Kendall,43.13744859,-70.9357321
Kingsbury,43.13413037,-70.93492065
Lord,43.13892229,-70.93160552
Marston House,43.1308372,-70.93701626
McConnell,43.1327985,-70.93211973
McLaughlin,43.13834517,-70.93217005
Memorial Union,43.13444103,-70.92984558
Mills,43.13404637,-70.92836638
Morrill,43.13732898,-70.93439748
Morse,43.134828,-70.935806
Murkland,43.13613831,-70.93311655
Nesmith,43.13793353,-70.93570496
New England,43.13904235,-70.92892679
New Hampshire,43.13821629,-70.93380312
NHPTV studio,43.14019801,-70.94827796
Parsons,43.13358485,-70.93405261
Paul,43.13679778,-70.92872252
Peterson,43.13289846,-70.93705378
Paul Creative Arts,43.13455053,-70.93330314
Pettee,43.13702195,-70.93544233
Philbrook,43.13215463,-70.93477556
Presidents House,43.13602144,-70.92953821
Putnam,43.14118618,-70.93952414
Randall,43.13330929,-70.93090577
Richardson,43.13141534,-70.9376379
Ritzman,43.13623082,-70.93869872
Rudman,43.13560525,-70.93531762
Sawyer,43.13709431,-70.92978545
Scott,43.13762901,-70.93124155
Service Building,43.13630171,-70.93608612
Smith Equine,43.14279599,-70.94116914
Smith,43.13714983,-70.93070019
Spaulding,43.13518733,-70.93450337
Stillings,43.1379576,-70.92993765
Stoke,43.13736995,-70.9290226
Taylor,43.13741176,-70.93512341
Thompson,43.13594034,-70.93244543
Whittemore,43.13969823,-70.93438872
Williamson,43.13133935,-70.93568214
Zais,43.13560852,-70.93636391
